x-axis,h=5,h=10,h=15,h=20,h=25,h=30,h=35,h=40,
48000000000000000000,900136718750000000,903750000000000000,911250000000000000,920000000000000000,927000000000000000,935000000000000000,940714285714285714,945000000000000000,
49000000000000000000,900117187500000000,903437500000000000,910833333333333333,919375000000000000,926000000000000000,934166666666666666,940000000000000000,944375000000000000,
50000000000000000000,900097656250000000,903125000000000000,910416666666666666,918750000000000000,925000000000000000,933333333333333333,939285714285714285,943750000000000000,
51000000000000000000,900087890625000000,902968750000000000,910000000000000000,918125000000000000,924500000000000000,932500000000000000,938571428571428571,943125000000000000,
52000000000000000000,900078125000000000,902812500000000000,909583333333333333,917500000000000000,924000000000000000,931666666666666666,937857142857142857,942500000000000000,
53000000000000000000,900068359375000000,902656250000000000,909166666666666666,916875000000000000,923500000000000000,930833333333333333,937142857142857142,941875000000000000,
54000000000000000000,900058593750000000,902500000000000000,908750000000000000,916250000000000000,923000000000000000,930000000000000000,936428571428571428,941250000000000000,
55000000000000000000,900048828125000000,902343750000000000,908333333333333333,915625000000000000,922500000000000000,929166666666666666,935714285714285714,940625000000000000,
56000000000000000000,900043945312500000,902187500000000000,907916666666666666,915000000000000000,922000000000000000,928333333333333333,935000000000000000,940000000000000000,
57000000000000000000,900039062500000000,902031250000000000,907500000000000000,914375000000000000,921500000000000000,927500000000000000,934285714285714285,939375000000000000,
58000000000000000000,900034179687500000,901875000000000000,907083333333333333,913750000000000000,921000000000000000,926666666666666666,933571428571428571,938750000000000000,
59000000000000000000,900029296875000000,901718750000000000,906666666666666666,913125000000000000,920500000000000000,925833333333333333,932857142857142857,938125000000000000,
60000000000000000000,900024414062500000,901562500000000000,906250000000000000,912500000000000000,920000000000000000,925000000000000000,932142857142857142,937500000000000000,
61000000000000000000,900021972656250000,901484375000000000,906041666666666666,912187500000000000,919500000000000000,924583333333333333,931428571428571428,936875000000000000,
62000000000000000000,900019531250000000,901406250000000000,905833333333333333,911875000000000000,919000000000000000,924166666666666666,930714285714285714,936250000000000000,
63000000000000000000,900017089843750000,901328125000000000,905625000000000000,911562500000000000,918500000000000000,923750000000000000,930000000000000000,935625000000000000,
64000000000000000000,900014648437500000,901250000000000000,905416666666666666,911250000000000000,918000000000000000,923333333333333333,929285714285714285,935000000000000000,
65000000000000000000,900012207031250000,901171875000000000,905208333333333333,910937500000000000,917500000000000000,922916666666666666,928571428571428571,934375000000000000,
66000000000000000000,900010986328125000,901093750000000000,905000000000000000,910625000000000000,917000000000000000,922500000000000000,927857142857142857,933750000000000000,
67000000000000000000,900009765625000000,901015625000000000,904791666666666666,910312500000000000,916500000000000000,922083333333333333,927142857142857142,933125000000000000,
